,dataset,topic,topics,articles,tokens,coref_chain,mentions,event_mentions,entity_mentions,singletons,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_all,F1_CONLL_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_wo_singl,F1_CONLL_wo_singl
GVC\0\subtopic,GVC,0/688841,1,3,0,16,52,52,0,45,3.25,1.598,2.062,50.097,4.6,1.676,2.7,48.707
GVC\0\subtopic,GVC,0/688979,1,3,0,8,41,41,0,32,38.625,11.095,8.75,35.58,51.167,11.16,11.333,34.817
GVC\0\subtopic,GVC,0/689518,1,2,0,5,34,34,0,29,6.8,2.225,2.8,56.683,8.25,2.262,3.25,53.373
GVC\0\subtopic,GVC,0/692025,1,4,0,15,64,64,0,55,22.133,10.481,5.133,39.62,29.818,10.597,6.636,38.517
GVC\0\subtopic,GVC,0/693003,1,2,0,4,15,15,0,15,3.75,0.42,1.5,84.617,4.667,0.379,1.667,82.31
GVC\0\subtopic,GVC,0/693359,1,2,0,5,20,20,0,20,4.0,0.192,1.2,93.86,4.0,0.192,1.2,93.86
GVC\0\subtopic,GVC,0/693798,1,3,0,5,24,24,0,23,4.8,1.406,2.6,54.843,5.75,1.424,3.0,51.183
GVC\0\subtopic,GVC,0/693892,1,1,0,5,8,8,0,6,1.6,1.25,1.4,69.12,2.5,1.4,2.0,56.147
GVC\0\subtopic,GVC,0/695963,1,3,0,6,23,23,0,23,48.5,11.645,9.333,37.91,58.0,11.681,11.0,37.707
GVC\0\subtopic,GVC,0/696569,1,2,0,5,29,29,0,29,5.8,0.131,1.6,81.073,7.0,0.1,1.75,79.047
GVC\0\subtopic,GVC,0/698315,1,2,0,6,24,24,0,22,48.667,11.694,10.333,35.47,72.5,11.767,15.0,34.127
GVC\0\subtopic,GVC,0/699070,1,2,0,4,24,24,0,23,6.0,1.16,3.5,43.807,6.0,1.16,3.5,43.807
GVC\0\subtopic,GVC,0/700468,1,3,0,11,48,48,0,44,4.364,1.866,2.273,57.347,5.111,1.903,2.556,55.177
GVC\0\subtopic,GVC,0/701425,1,2,0,4,22,22,0,20,5.5,0.657,2.0,70.52,5.5,0.657,2.0,70.52
GVC\0\subtopic,GVC,0/702958,1,2,0,6,30,30,0,24,5.0,1.975,2.667,52.133,7.0,2.045,3.5,45.25
GVC\0\subtopic,GVC,0/704555,1,2,0,6,44,44,0,42,50.5,11.233,10.5,35.27,60.4,11.267,12.4,34.973
GVC\0\subtopic,GVC,0/704906,1,3,0,9,159,159,0,148,47.556,8.409,9.667,39.533,53.375,8.426,10.75,38.543
GVC\0\subtopic,GVC,0/704909,1,2,0,12,27,27,0,22,2.25,1.506,1.583,50.96,3.5,1.651,2.167,54.393
GVC\0\subtopic,GVC,0/708277,1,3,0,6,32,32,0,29,5.333,1.224,2.333,55.843,7.5,1.239,3.0,55.347
GVC\0\subtopic,GVC,0/710200,1,3,0,6,63,63,0,61,55.333,10.54,11.333,36.623,66.2,10.569,13.4,36.54
GVC\0\subtopic,GVC,0/710885,1,3,0,12,44,44,0,42,3.667,1.681,1.833,62.11,5.571,1.768,2.429,61.203
GVC\0\subtopic,GVC,0/711467,1,2,0,5,14,14,0,10,2.8,1.952,2.0,60.78,4.0,2.111,2.667,52.937
GVC\0\subtopic,GVC,0/711921,1,2,0,4,15,15,0,13,3.75,2.267,2.25,50.39,3.75,2.267,2.25,50.39
GVC\0\subtopic,GVC,0/711973,1,3,0,5,18,18,0,18,57.4,11.692,10.2,38.127,57.4,11.692,10.2,38.127
GVC\0\subtopic,GVC,0/715024,1,2,0,4,22,22,0,22,72.75,11.656,14.25,34.593,96.667,11.693,18.667,34.34
GVC\0\subtopic,GVC,0/716641,1,2,0,4,16,16,0,15,4.0,2.047,3.0,41.18,5.0,2.117,3.667,40.397
GVC\0\subtopic,GVC,0/717231,1,3,0,6,41,41,0,38,51.667,11.024,10.667,37.0,61.8,11.057,12.6,35.81
GVC\0\subtopic,GVC,0/717395,1,2,0,4,17,17,0,15,4.25,0.906,2.25,63.087,4.25,0.906,2.25,63.087
GVC\0\subtopic,GVC,0/717947,1,2,0,5,20,20,0,18,4.0,2.725,3.0,42.46,4.75,2.816,3.5,40.213
GVC\0\subtopic,GVC,0/718272,1,3,0,6,23,23,0,23,3.833,2.496,2.0,64.387,5.25,2.639,2.5,64.183
GVC\0\subtopic,GVC,0/719325,1,2,0,5,37,37,0,36,7.4,2.25,4.0,43.227,7.4,2.25,4.0,43.227
GVC\0\subtopic,GVC,0/719606,1,1,0,3,6,6,0,6,2.0,0.305,1.0,100.0,2.5,0.167,1.0,100.0
GVC\0\subtopic,GVC,0/720830,1,2,0,4,15,15,0,15,3.75,1.778,2.5,52.507,4.667,1.833,3.0,47.65
GVC\0\subtopic,GVC,0/721079,1,2,0,7,32,32,0,29,42.857,11.312,8.857,36.967,49.833,11.347,10.167,35.753
GVC\0\subtopic,GVC,0/723277,1,2,0,6,24,24,0,22,4.0,2.57,2.5,56.923,4.6,2.638,2.8,54.15
GVC\0\subtopic,GVC,0/723429,1,1,0,5,9,9,0,9,1.8,1.444,1.6,58.64,2.333,1.571,2.0,50.56
GVC\0\subtopic,GVC,0/724088,1,1,0,8,14,14,0,11,1.75,1.821,1.625,49.503,3.0,2.278,2.667,39.3
GVC\0\subtopic,GVC,0/724900,1,2,0,6,35,35,0,32,50.167,11.33,10.5,35.26,50.167,11.33,10.5,35.26
GVC\0\subtopic,GVC,0/725323,1,1,0,6,9,9,0,9,1.5,1.5,1.333,62.353,2.5,1.9,2.0,58.33
GVC\0\subtopic,GVC,0/727980,1,3,0,4,16,16,0,16,4.0,0.682,1.75,74.067,5.0,0.661,2.0,70.68
GVC\0\subtopic,GVC,0/728026,1,2,0,9,75,75,0,65,38.0,10.059,8.333,37.963,42.625,10.086,9.25,37.623
GVC\0\subtopic,GVC,0/730157,1,1,0,3,6,6,0,6,2.0,2.333,1.667,38.267,2.5,2.6,2.0,30.157
GVC\0\subtopic,GVC,0/730162,1,1,0,6,14,14,0,13,2.333,1.191,1.833,57.453,3.667,1.243,2.667,50.76
GVC\0\subtopic,GVC,0/730637,1,4,0,6,51,51,0,50,8.5,1.047,3.167,51.7,8.5,1.047,3.167,51.7
GVC\0\subtopic,GVC,0/734402,1,2,0,7,35,35,0,33,42.857,11.329,8.857,37.17,49.833,11.364,10.167,36.66
GVC\0\subtopic,GVC,0/734408,1,1,0,5,11,11,0,10,2.2,2.182,2.0,48.827,3.0,2.444,2.667,39.343
GVC\0\subtopic,GVC,0/735826,1,2,0,4,23,23,0,22,5.75,1.055,2.75,55.433,5.75,1.055,2.75,55.433
GVC\\subtopic,GVC,/None,1,510,180024,1411,7296,7296,0,6751,5.171,1.83,2.389,50.238,6.632,1.874,2.876,48.385
