,dataset,topic,topics,articles,tokens,coref_chain,mentions,event_mentions,entity_mentions,singletons,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_all,F1_CONLL_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_wo_singl,F1_CONLL_wo_singl
GVC\0\subtopic,GVC,0/364715,1,2,0,9,16,16,0,12,1.778,2.75,1.556,42.87,4.5,4.111,3.5,29.24
GVC\0\subtopic,GVC,0/365252,1,2,0,5,18,18,0,16,3.6,1.343,1.8,71.513,5.333,1.386,2.333,64.697
GVC\0\subtopic,GVC,0/368727,1,2,0,11,67,67,0,63,30.545,10.342,6.727,38.177,55.167,10.483,11.5,36.723
GVC\0\subtopic,GVC,0/370966,1,2,0,5,20,20,0,16,4.0,1.45,2.6,49.55,4.75,1.474,3.0,47.38
GVC\0\subtopic,GVC,0/384676,1,2,0,7,34,34,0,33,4.857,1.425,2.714,49.9,5.5,1.437,3.0,50.83
GVC\0\subtopic,GVC,0/386225,1,1,0,4,11,11,0,11,5.75,1.279,2.5,52.963,7.333,1.291,3.0,47.283
GVC\0\subtopic,GVC,0/390960,1,2,0,9,37,37,0,32,34.0,11.193,7.444,36.68,38.125,11.227,8.25,36.537
GVC\0\subtopic,GVC,0/399019,1,1,0,5,11,11,0,10,55.8,12.036,10.2,37.02,92.333,12.116,16.333,35.66
GVC\0\subtopic,GVC,0/399367,1,2,0,10,56,56,0,56,32.5,10.405,6.4,39.387,36.0,10.434,7.0,39.367
GVC\0\subtopic,GVC,0/399503,1,2,0,4,16,16,0,16,4.0,2.25,2.5,51.157,4.0,2.25,2.5,51.157
GVC\0\subtopic,GVC,0/401223,1,2,0,5,41,41,0,39,8.2,0.963,3.2,56.097,8.2,0.963,3.2,56.097
GVC\0\subtopic,GVC,0/402674,1,3,0,11,53,53,0,52,29.182,10.567,6.182,40.713,32.0,10.597,6.7,40.607
GVC\0\subtopic,GVC,0/403084,1,1,0,3,8,8,0,7,2.667,3.25,2.667,29.693,3.5,3.571,3.5,21.48
GVC\0\subtopic,GVC,0/413257,1,3,0,6,42,42,0,42,51.333,11.016,10.333,37.77,51.333,11.016,10.333,37.77
GVC\0\subtopic,GVC,0/418318,1,2,0,8,30,30,0,27,3.75,1.042,1.875,61.523,4.667,1.045,2.167,61.397
GVC\0\subtopic,GVC,0/423088,1,1,0,3,9,9,0,7,3.0,1.889,2.333,50.407,4.0,2.0,3.0,43.053
GVC\0\subtopic,GVC,0/427621,1,2,0,6,71,71,0,71,11.833,1.022,4.0,53.967,14.0,1.022,4.6,53.067
GVC\0\subtopic,GVC,0/432535,1,2,0,4,23,23,0,23,5.75,1.415,2.5,65.78,5.75,1.415,2.5,65.78
GVC\0\subtopic,GVC,0/432540,1,2,0,7,35,35,0,34,5.0,1.281,2.429,57.82,6.6,1.298,3.0,56.47
GVC\0\subtopic,GVC,0/432604,1,1,0,3,14,14,0,13,4.667,0.786,2.667,55.927,4.667,0.786,2.667,55.927
GVC\0\subtopic,GVC,0/443637,1,2,0,5,47,47,0,47,9.4,0.631,2.0,73.817,11.5,0.623,2.25,76.077
GVC\0\subtopic,GVC,0/443803,1,1,0,5,16,16,0,15,59.6,11.388,12.0,35.113,59.6,11.388,12.0,35.113
GVC\0\subtopic,GVC,0/446569,1,2,0,5,32,32,0,28,6.4,1.57,2.8,55.467,6.4,1.57,2.8,55.467
GVC\0\subtopic,GVC,0/448947,1,2,0,7,25,25,0,24,41.571,11.563,8.0,37.133,48.333,11.599,9.167,36.907
GVC\0\subtopic,GVC,0/449691,1,2,0,7,36,36,0,32,44.429,10.893,8.714,38.107,51.667,10.924,10.0,37.747
GVC\0\subtopic,GVC,0/453738,1,2,0,5,26,26,0,20,59.0,11.449,11.6,36.14,59.0,11.449,11.6,36.14
GVC\0\subtopic,GVC,0/455891,1,1,0,3,6,6,0,6,2.0,1.417,1.667,62.777,2.0,1.417,1.667,62.777
GVC\0\subtopic,GVC,0/461515,1,2,0,5,23,23,0,23,58.2,11.563,11.0,35.37,72.5,11.599,13.5,34.973
GVC\0\subtopic,GVC,0/462496,1,2,0,5,24,24,0,22,4.8,1.451,2.4,60.68,4.8,1.451,2.4,60.68
GVC\0\subtopic,GVC,0/468787,1,1,0,6,18,18,0,16,3.0,2.259,2.333,50.013,4.0,2.417,3.0,42.72
GVC\0\subtopic,GVC,0/470044,1,2,0,4,17,17,0,15,4.25,0.37,1.5,84.287,4.25,0.37,1.5,84.287
GVC\0\subtopic,GVC,0/470512,1,1,0,2,7,7,0,7,3.5,0.357,1.5,79.117,6.0,0.25,2.0,71.21
GVC\0\subtopic,GVC,0/470971,1,3,0,6,45,45,0,39,7.5,1.984,3.5,50.98,10.75,2.03,4.75,47.153
GVC\0\subtopic,GVC,0/478948,1,3,0,7,37,37,0,37,5.286,1.919,2.286,63.0,8.5,2.0,3.25,56.26
GVC\0\subtopic,GVC,0/484317,1,2,0,5,13,13,0,13,2.6,1.173,1.6,71.527,5.0,1.225,2.5,64.037
GVC\0\subtopic,GVC,0/486360,1,1,0,4,7,7,0,7,1.75,1.357,1.5,66.663,2.0,1.417,1.667,62.777
GVC\0\subtopic,GVC,0/486434,1,2,0,6,35,35,0,32,50.167,11.285,10.0,36.92,74.75,11.354,14.5,35.387
GVC\0\subtopic,GVC,0/487094,1,3,0,5,27,27,0,27,5.4,2.476,2.6,54.863,6.5,2.532,3.0,51.57
GVC\0\subtopic,GVC,0/487996,1,2,0,6,33,33,0,33,52.0,10.821,9.667,39.76,52.0,10.821,9.667,39.76
GVC\0\subtopic,GVC,0/488277,1,2,0,3,19,19,0,17,6.333,1.026,2.333,64.667,6.333,1.026,2.333,64.667
GVC\0\subtopic,GVC,0/489149,1,2,0,6,45,45,0,43,50.0,11.268,10.0,36.487,99.0,11.371,19.0,34.59
GVC\0\subtopic,GVC,0/490954,1,3,0,11,38,38,0,36,27.909,11.061,5.909,38.85,43.286,11.194,8.714,37.79
GVC\0\subtopic,GVC,0/491438,1,2,0,8,35,35,0,34,4.375,1.676,2.25,58.41,7.75,1.763,3.5,52.23
GVC\0\subtopic,GVC,0/491937,1,2,0,9,39,39,0,36,34.222,11.008,7.111,38.657,43.714,11.074,8.857,36.937
GVC\0\subtopic,GVC,0/492366,1,4,0,11,77,77,0,68,31.0,10.147,6.636,40.843,42.25,10.228,8.75,40.45
GVC\0\subtopic,GVC,0/492546,1,2,0,5,21,21,0,21,4.2,1.02,2.0,71.733,5.0,1.021,2.25,69.053
GVC\0\subtopic,GVC,0/495938,1,1,0,4,7,7,0,7,69.0,12.153,12.5,34.983,91.667,12.193,16.333,34.667
GVC\0\subtopic,GVC,0/501412,1,2,0,7,38,38,0,34,43.857,11.082,9.143,36.053,51.0,11.115,10.5,35.84
GVC\0\subtopic,GVC,0/508327,1,2,0,7,24,24,0,24,41.571,11.664,8.571,35.467,72.0,11.775,14.25,34.677
GVC\0\subtopic,GVC,0/509471,1,2,0,4,11,11,0,8,70.0,11.976,12.5,36.383,70.0,11.976,12.5,36.383
GVC\0\subtopic,GVC,0/512274,1,2,0,6,32,32,0,30,49.833,11.324,10.0,37.327,59.6,11.358,11.8,36.093
GVC\0\subtopic,GVC,0/512877,1,2,0,5,40,40,0,35,60.4,11.474,13.0,34.303,60.4,11.474,13.0,34.303
GVC\0\subtopic,GVC,0/513903,1,2,0,5,27,27,0,27,58.8,11.499,11.4,36.46,58.8,11.499,11.4,36.46
GVC\0\subtopic,GVC,0/517905,1,2,0,5,19,19,0,16,3.8,1.316,2.2,58.9,5.667,1.353,3.0,53.813
GVC\0\subtopic,GVC,0/517940,1,3,0,5,24,24,0,22,58.4,11.523,10.6,37.583,58.4,11.523,10.6,37.583
GVC\0\subtopic,GVC,0/520688,1,1,0,5,8,8,0,7,1.6,2.0,1.6,47.007,2.5,2.6,2.5,30.157
GVC\0\subtopic,GVC,0/521706,1,1,0,8,10,10,0,9,1.25,1.4,1.25,46.8,2.0,2.0,2.0,37.033
GVC\0\subtopic,GVC,0/522597,1,1,0,2,7,7,0,7,3.5,0.929,2.0,65.017,6.0,0.917,3.0,54.77
GVC\0\subtopic,GVC,0/525119,1,2,0,4,33,33,0,25,8.25,0.915,3.0,59.407,8.25,0.915,3.0,59.407
GVC\0\subtopic,GVC,0/525329,1,3,0,6,68,68,0,62,11.333,1.345,4.167,50.25,13.4,1.35,4.8,47.943
GVC\0\subtopic,GVC,0/525486,1,4,0,7,57,57,0,54,46.571,10.452,8.714,39.74,54.167,10.481,10.0,39.69
GVC\0\subtopic,GVC,0/533658,1,2,0,6,30,30,0,27,49.833,11.308,9.833,37.127,59.6,11.342,11.6,35.887
GVC\0\subtopic,GVC,0/537545,1,2,0,3,17,17,0,17,5.667,0.429,2.333,64.98,5.667,0.429,2.333,64.98
GVC\0\subtopic,GVC,0/537974,1,2,0,5,22,22,0,19,4.4,1.841,2.6,57.783,5.25,1.881,3.0,54.517
GVC\0\subtopic,GVC,0/541769,1,4,0,7,68,68,0,68,48.0,10.073,8.571,41.2,48.0,10.073,8.571,41.2
GVC\0\subtopic,GVC,0/544535,1,3,0,7,49,49,0,48,45.429,10.641,8.714,38.7,45.429,10.641,8.714,38.7
