,dataset,topic/subtopic_name,language,topics,articles,tokens,coref_chain,mentions,event_mentions,entity_mentions,singletons,cross-topic-chains,cross-topic-mentions,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_all,F1_CONLL_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_wo_singl,F1_CONLL_wo_singl
FCC_T\0\2LCRAv9aEWjA2zNnKcoKvh\,FCC_T,0/2LCRAv9aEWjA2zNnKcoKvh,,1,14,12490,42,132,132,0,0,0,0,3.143,2.308,2.143,43.47,4.913,2.528,3.087,43.47
FCC_T\0\3Z76XQikovMQzGD6GFwdng\,FCC_T,0/3Z76XQikovMQzGD6GFwdng,,1,10,8366,31,89,89,0,0,0,0,2.871,2.667,2.0,52.407,5.143,3.061,3.214,52.407
FCC_T\0\44TVwdYSXhHqxU62CXrkBB\,FCC_T,0/44TVwdYSXhHqxU62CXrkBB,,1,1,570,4,7,7,0,0,0,0,1.75,1.286,1.5,66.443,2.5,1.4,2.0,66.443
FCC_T\0\4Vxa44gBmfJ58Lm3ZD4yKh\,FCC_T,0/4Vxa44gBmfJ58Lm3ZD4yKh,,1,10,9865,43,113,113,0,0,0,0,2.628,1.589,1.814,44.26,4.684,1.748,2.842,44.26
FCC_T\0\4b2JirthBJypBGcMiZb4Rf\,FCC_T,0/4b2JirthBJypBGcMiZb4Rf,,1,1,925,4,4,4,0,0,0,0,1.0,1.0,1.0,66.667,,,,
FCC_T\0\4bHxQTPw66zbuG83RioiFy\,FCC_T,0/4bHxQTPw66zbuG83RioiFy,,1,2,1372,4,7,7,0,0,0,0,1.75,0.571,1.0,100.0,4.0,0.25,1.0,100.0
FCC_T\0\4jM38shqaGBdc9pdZP2imm\,FCC_T,0/4jM38shqaGBdc9pdZP2imm,,1,6,5335,13,37,37,0,0,0,0,2.846,0.93,1.615,63.427,7.0,0.907,3.0,63.427
FCC_T\0\55atjNEv8c2cQN2p6DcgpU\,FCC_T,0/55atjNEv8c2cQN2p6DcgpU,,1,3,2789,12,23,23,0,0,0,0,1.917,1.594,1.417,63.583,3.2,1.854,2.0,63.583
FCC_T\0\7CqELkejZUeV3JiDCpWSs6\,FCC_T,0/7CqELkejZUeV3JiDCpWSs6,,1,1,556,1,1,1,0,0,0,0,1.0,1.0,1.0,66.667,,,,
FCC_T\0\7mWsS5pm4nbbA3MeprRKJN\,FCC_T,0/7mWsS5pm4nbbA3MeprRKJN,,1,2,1747,4,6,6,0,0,0,0,1.5,0.583,1.25,72.22,2.0,0.375,1.5,72.22
FCC_T\0\7og7mFD7XoRyRuwGy8Hisd\,FCC_T,0/7og7mFD7XoRyRuwGy8Hisd,,1,2,1658,9,10,10,0,0,0,0,1.111,0.85,1.0,63.553,2.0,0.25,1.0,63.553
FCC_T\0\7zJ7twYhqkfuknbcfnoPEF\,FCC_T,0/7zJ7twYhqkfuknbcfnoPEF,,1,3,2919,6,12,12,0,0,0,0,2.0,0.764,1.333,82.427,2.5,0.717,1.5,82.427
FCC_T\0\8KFATYL8rLEgU2ihFFqFsM\,FCC_T,0/8KFATYL8rLEgU2ihFFqFsM,,1,6,4856,25,49,49,0,0,0,0,1.96,2.167,1.6,47.727,4.429,2.844,3.143,47.727
FCC_T\0\8ryixrM7dHHyfKefLZS5vG\,FCC_T,0/8ryixrM7dHHyfKefLZS5vG,,1,4,3884,8,20,20,0,0,0,0,2.5,0.592,1.5,69.233,4.0,0.49,2.0,69.233
FCC_T\0\ANhCXjNGADEiBvPsLuBanY\,FCC_T,0/ANhCXjNGADEiBvPsLuBanY,,1,1,177,4,5,5,0,0,0,0,1.25,1.0,1.0,100.0,2.0,1.0,1.0,100.0
FCC_T\0\AXBmJwPgKJrhGDwndXj2q7\,FCC_T,0/AXBmJwPgKJrhGDwndXj2q7,,1,2,1813,13,19,19,0,0,0,0,1.462,0.934,1.154,66.787,2.5,0.875,1.5,66.787
FCC_T\0\AoBLv9Jhxq3UcAy2QBjBfu\,FCC_T,0/AoBLv9Jhxq3UcAy2QBjBfu,,1,5,2841,11,28,28,0,0,0,0,2.545,0.949,1.636,64.333,3.429,0.941,2.0,64.333
FCC_T\0\Bgv8ov2i82Z5bqBh8i3i8Q\,FCC_T,0/Bgv8ov2i82Z5bqBh8i3i8Q,,1,3,2831,6,11,11,0,0,0,0,1.833,1.212,1.333,66.38,2.667,1.292,1.667,66.38
FCC_T\0\CFdc58ZuAsG9hKwmysZN2r\,FCC_T,0/CFdc58ZuAsG9hKwmysZN2r,,1,1,597,6,6,6,0,0,0,0,1.0,1.0,1.0,50.0,,,,
FCC_T\0\CVWdwG4mGWTMMm84q2emUg\,FCC_T,0/CVWdwG4mGWTMMm84q2emUg,,1,2,1835,9,17,17,0,0,0,0,1.889,1.588,1.556,62.213,2.6,1.769,2.0,62.213
FCC_T\0\CjtBVGeik6CJgeahBkZt4v\,FCC_T,0/CjtBVGeik6CJgeahBkZt4v,,1,5,3983,21,54,54,0,0,0,0,2.571,2.657,2.095,43.483,3.357,2.904,2.643,43.483
FCC_T\0\CnLTKPD9Cjr9yUixgkWqfF\,FCC_T,0/CnLTKPD9Cjr9yUixgkWqfF,,1,1,902,8,12,12,0,0,0,0,1.5,1.333,1.125,74.28,2.333,1.571,1.333,74.28
FCC_T\0\Crxz5UPiSWpgN7G8vd2gsA\,FCC_T,0/Crxz5UPiSWpgN7G8vd2gsA,,1,1,822,6,13,13,0,0,0,0,2.167,1.654,1.5,64.897,2.75,1.773,1.75,64.897
FCC_T\0\Csovot7QH33ZBCdzgqCU3J\,FCC_T,0/Csovot7QH33ZBCdzgqCU3J,,1,2,2029,6,6,6,0,0,0,0,1.0,1.0,1.0,66.667,,,,
FCC_T\0\D3C5uSjkZDg35vxdTo6UH9\,FCC_T,0/D3C5uSjkZDg35vxdTo6UH9,,1,2,2016,10,20,20,0,0,0,0,2.0,1.192,1.6,64.14,3.0,1.255,2.2,64.14
FCC_T\0\EHcWLPBRbRr7qe9T2NpnCt\,FCC_T,0/EHcWLPBRbRr7qe9T2NpnCt,,1,2,1865,10,12,12,0,0,0,0,1.2,0.861,1.0,100.0,3.0,0.444,1.0,100.0
FCC_T\0\EphStPJ8ZpaBJZzwPUVXwg\,FCC_T,0/EphStPJ8ZpaBJZzwPUVXwg,,1,1,692,4,6,6,0,0,0,0,1.5,1.083,1.25,79.68,2.0,1.125,1.5,79.68
FCC_T\0\F5aKwX9Qtsk4PA9Q9cQQPB\,FCC_T,0/F5aKwX9Qtsk4PA9Q9cQQPB,,1,3,998,10,15,15,0,0,0,0,1.5,0.88,1.1,72.283,6.0,0.7,2.0,72.283
FCC_T\0\FJhRoxKkT25CR6j6MTAr9D\,FCC_T,0/FJhRoxKkT25CR6j6MTAr9D,,1,3,2538,10,15,15,0,0,0,0,1.5,1.8,1.4,56.79,2.667,2.5,2.333,56.79
FCC_T\0\FgUzBC4NWQktYbmaHzhpQc\,FCC_T,0/FgUzBC4NWQktYbmaHzhpQc,,1,1,453,5,10,10,0,0,0,0,2.0,1.733,1.6,67.973,6.0,2.222,4.0,67.973
FCC_T\0\Fi3FVPoUo2Vvuv2XPEw3n8\,FCC_T,0/Fi3FVPoUo2Vvuv2XPEw3n8,,1,6,6426,34,76,76,0,0,0,0,2.235,1.991,1.735,48.66,4.231,2.37,2.923,48.66
FCC_T\0\G2XvSSebd6Tc4bHMenwxLy\,FCC_T,0/G2XvSSebd6Tc4bHMenwxLy,,1,89,59404,238,986,986,0,0,0,0,4.143,3.434,2.29,38.11,7.926,3.803,3.843,38.11
FCC_T\0\GrttQ44TtqSqbdjKe8Gct5\,FCC_T,0/GrttQ44TtqSqbdjKe8Gct5,,1,7,4074,19,52,52,0,0,0,0,2.737,1.178,1.632,64.617,5.125,1.226,2.5,64.617
FCC_T\0\HFNubz8em8MjCcgPHZuBMb\,FCC_T,0/HFNubz8em8MjCcgPHZuBMb,,1,1,906,10,18,18,0,0,0,0,1.8,1.222,1.4,75.36,2.6,1.308,1.8,75.36
FCC_T\0\HMNwpVr4XqNqqfByAvzeNs\,FCC_T,0/HMNwpVr4XqNqqfByAvzeNs,,1,4,2872,16,34,34,0,0,0,0,2.125,0.985,1.5,64.967,3.0,0.981,1.889,64.967
FCC_T\0\HV4VfupyCvxyFNfbbzkpT3\,FCC_T,0/HV4VfupyCvxyFNfbbzkpT3,,1,6,6009,15,39,39,0,0,0,0,2.6,1.437,1.8,57.953,3.667,1.516,2.333,57.953
FCC_T\0\HqWcvT9SruwgHeFPMUGZfY\,FCC_T,0/HqWcvT9SruwgHeFPMUGZfY,,1,2,1074,8,10,10,0,0,0,0,1.25,1.05,1.125,60.373,2.0,1.125,1.5,60.373
FCC_T\0\JchdDZ2M9LBMFdpuzYzyw3\,FCC_T,0/JchdDZ2M9LBMFdpuzYzyw3,,1,3,2222,16,24,24,0,0,0,0,1.5,1.708,1.438,50.59,2.6,2.308,2.4,50.59
FCC_T\0\K3nJe2Ri9evFTEq7L3Wi3V\,FCC_T,0/K3nJe2Ri9evFTEq7L3Wi3V,,1,1,749,2,2,2,0,0,0,0,1.0,1.0,1.0,66.667,,,,
FCC_T\0\K5bYABiHJciFhgrdKsSWik\,FCC_T,0/K5bYABiHJciFhgrdKsSWik,,1,2,1226,9,16,16,0,0,0,0,1.778,1.906,1.667,48.63,3.333,2.45,3.0,48.63
FCC_T\0\KLsQh4sQdV62dJrWxL8wFg\,FCC_T,0/KLsQh4sQdV62dJrWxL8wFg,,1,1,966,6,6,6,0,0,0,0,1.0,1.0,1.0,58.58,,,,
FCC_T\0\KW4dSpJCsCC9acgXkyzKSC\,FCC_T,0/KW4dSpJCsCC9acgXkyzKSC,,1,2,1906,9,15,15,0,0,0,0,1.667,0.967,1.222,72.85,3.0,0.944,1.667,72.85
FCC_T\0\LQBzR6CiNiLgKKobcAh5rv\,FCC_T,0/LQBzR6CiNiLgKKobcAh5rv,,1,1,1103,4,6,6,0,0,0,0,1.5,2.0,1.5,48.147,3.0,3.0,3.0,48.147
FCC_T\0\Mrr9Rn223DWXkBx5rFhWQt\,FCC_T,0/Mrr9Rn223DWXkBx5rFhWQt,,1,2,1119,9,15,15,0,0,0,0,1.667,2.2,1.556,52.323,3.0,3.0,2.667,52.323
FCC_T\0\P8pnqhesDwuJ7LMacUTtde\,FCC_T,0/P8pnqhesDwuJ7LMacUTtde,,1,5,2637,19,40,40,0,0,0,0,2.105,1.546,1.579,55.51,4.0,1.781,2.571,55.51
FCC_T\0\PLrfgLMZ422vRBVm9PKAL4\,FCC_T,0/PLrfgLMZ422vRBVm9PKAL4,,1,10,7918,32,77,77,0,0,0,0,2.406,1.641,1.594,61.327,4.214,1.837,2.357,61.327
