,dataset,topic/subtopic_name,language,topics,articles,tokens,coref_chain,mentions,event_mentions,entity_mentions,singletons,cross-topic-chains,cross-topic-mentions,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_all,F1_CONLL_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_wo_singl,F1_CONLL_wo_singl
FCC_T\0\PtAJ3UhdXnPKrzZKDD4oy3\,FCC_T,0/PtAJ3UhdXnPKrzZKDD4oy3,,1,1,454,7,8,8,0,0,0,0,1.143,1.25,1.143,54.563,2.0,2.0,2.0,54.563
FCC_T\0\PvRR2xBWC8kw89PKQB9eNM\,FCC_T,0/PvRR2xBWC8kw89PKQB9eNM,,1,1,1061,2,3,3,0,0,0,0,1.5,0.5,1.0,100.0,2.0,0.25,1.0,100.0
FCC_T\0\QNx2VoWVuyKNMbZiwrL9m8\,FCC_T,0/QNx2VoWVuyKNMbZiwrL9m8,,1,4,3970,13,29,29,0,0,0,0,2.231,1.359,1.615,58.543,5.0,1.521,3.0,58.543
FCC_T\0\QoFyGPgeAktJVQCPm9NyKc\,FCC_T,0/QoFyGPgeAktJVQCPm9NyKc,,1,3,3453,8,17,17,0,0,0,0,2.125,0.995,1.5,64.593,3.25,0.994,2.0,64.593
FCC_T\0\RNDDthmcPycRy8iJ48JcbD\,FCC_T,0/RNDDthmcPycRy8iJ48JcbD,,1,1,982,10,12,12,0,0,0,0,1.2,1.333,1.2,53.33,2.0,2.0,2.0,53.33
FCC_T\0\Ra9CfKRDjNvFXAsuPWxBsh\,FCC_T,0/Ra9CfKRDjNvFXAsuPWxBsh,,1,3,2514,10,18,18,0,0,0,0,1.8,0.815,1.2,82.87,3.667,0.697,1.667,82.87
FCC_T\0\S7KxmKCaXUZwLvVQm46o5Y\,FCC_T,0/S7KxmKCaXUZwLvVQm46o5Y,,1,1,764,5,6,6,0,0,0,0,1.2,0.75,1.0,79.68,2.0,0.25,1.0,79.68
FCC_T\0\SFwVfHWBbJpNuTsdEwmP8y\,FCC_T,0/SFwVfHWBbJpNuTsdEwmP8y,,1,8,7105,19,61,61,0,0,0,0,3.211,1.534,1.895,56.773,4.231,1.592,2.308,56.773
FCC_T\0\Sh6VPtUkoQ6vgWQfv2Jg8W\,FCC_T,0/Sh6VPtUkoQ6vgWQfv2Jg8W,,1,2,1598,5,5,5,0,0,0,0,1.0,1.0,1.0,56.787,,,,
FCC_T\0\Sv4orKRR3dPogDfYiEWqyP\,FCC_T,0/Sv4orKRR3dPogDfYiEWqyP,,1,4,4072,24,51,51,0,0,0,0,2.125,1.582,1.542,57.213,4.0,1.824,2.444,57.213
FCC_T\0\TMse8Jwojbp9WQ3dUp6k76\,FCC_T,0/TMse8Jwojbp9WQ3dUp6k76,,1,11,11671,36,126,126,0,0,0,0,3.5,2.051,2.167,50.88,5.737,2.215,3.211,50.88
FCC_T\0\VPzvXjh3r9EYt7WCAMARnz\,FCC_T,0/VPzvXjh3r9EYt7WCAMARnz,,1,1,634,4,4,4,0,0,0,0,1.0,1.0,1.0,66.667,,,,
FCC_T\0\VenpvvrNjoF65YW2FV2GFX\,FCC_T,0/VenpvvrNjoF65YW2FV2GFX,,1,3,4494,24,69,69,0,0,0,0,2.875,1.885,1.708,61.273,5.5,2.111,2.7,61.273
FCC_T\0\WXs8aiq7zUREnAteiMsoDb\,FCC_T,0/WXs8aiq7zUREnAteiMsoDb,,1,2,1311,1,3,3,0,0,0,0,3.0,1.0,2.0,63.803,3.0,1.0,2.0,63.803
FCC_T\0\WdgKnYp8nayBezDUzZigAj\,FCC_T,0/WdgKnYp8nayBezDUzZigAj,,1,3,2488,6,13,13,0,0,0,0,2.167,1.32,1.5,69.38,3.333,1.416,2.0,69.38
FCC_T\0\XkFZFS77QgQjbdmVa2Zd5v\,FCC_T,0/XkFZFS77QgQjbdmVa2Zd5v,,1,5,3286,8,16,16,0,0,0,0,2.0,1.604,1.625,64.657,3.0,1.806,2.25,64.657
FCC_T\0\Y4spabTqwMiM5SkqvzZun9\,FCC_T,0/Y4spabTqwMiM5SkqvzZun9,,1,1,699,2,2,2,0,0,0,0,1.0,1.0,1.0,37.033,,,,
FCC_T\0\YmYifK7ssNHbYFC9PkhQ9Z\,FCC_T,0/YmYifK7ssNHbYFC9PkhQ9Z,,1,12,12840,26,72,72,0,0,0,0,2.769,2.817,2.115,45.31,4.538,3.217,3.231,45.31
FCC_T\0\aaz8wraNoG4gKNcsPZN9Sb\,FCC_T,0/aaz8wraNoG4gKNcsPZN9Sb,,1,2,1802,2,5,5,0,0,0,0,2.5,1.7,2.0,57.403,4.0,1.875,3.0,57.403
FCC_T\0\amAkiJYi6amcEewHfrhxcD\,FCC_T,0/amAkiJYi6amcEewHfrhxcD,,1,1,869,15,15,15,0,0,0,0,1.0,1.0,1.0,41.737,,,,
FCC_T\0\auomGz2eHER7TYVTSBCPVq\,FCC_T,0/auomGz2eHER7TYVTSBCPVq,,1,7,5407,29,76,76,0,0,0,0,2.621,1.864,1.655,60.077,5.273,2.133,2.727,60.077
FCC_T\0\bFAGysfgaQk72KBZQkc6s2\,FCC_T,0/bFAGysfgaQk72KBZQkc6s2,,1,4,3134,7,16,16,0,0,0,0,2.286,0.604,1.143,72.77,10.0,0.367,2.0,72.77
FCC_T\0\bjxWfRWYjmgZc4FSAZhZrN\,FCC_T,0/bjxWfRWYjmgZc4FSAZhZrN,,1,11,7404,20,52,52,0,0,0,0,2.6,1.26,1.7,59.523,4.2,1.321,2.4,59.523
FCC_T\0\cA53QGW7EQ9zGZEeutxBTc\,FCC_T,0/cA53QGW7EQ9zGZEeutxBTc,,1,4,2216,5,11,11,0,0,0,0,2.2,0.836,1.2,90.65,4.0,0.775,1.5,90.65
FCC_T\0\cQwFX3huiL4sPukwWRGs9k\,FCC_T,0/cQwFX3huiL4sPukwWRGs9k,,1,4,4566,15,30,30,0,0,0,0,2.0,1.508,1.6,57.433,3.5,1.726,2.5,57.433
FCC_T\0\eT6qYaurbzpkP7zzYjAgmu\,FCC_T,0/eT6qYaurbzpkP7zzYjAgmu,,1,4,3114,25,37,37,0,0,0,0,1.48,1.384,1.28,53.677,3.4,1.835,2.4,53.677
FCC_T\0\eUEJXJcd72PGRwuxtXd4TJ\,FCC_T,0/eUEJXJcd72PGRwuxtXd4TJ,,1,2,1329,8,24,24,0,0,0,0,3.0,2.867,2.375,41.96,4.2,3.133,3.2,41.96
FCC_T\0\exmqE6FAcYdQXKYTf5zgGX\,FCC_T,0/exmqE6FAcYdQXKYTf5zgGX,,1,4,2798,9,20,20,0,0,0,0,2.222,1.317,1.444,65.62,2.833,1.373,1.667,65.62
FCC_T\0\gAKAVNeYyHjsHtPNkceNX9\,FCC_T,0/gAKAVNeYyHjsHtPNkceNX9,,1,3,3101,15,28,28,0,0,0,0,1.867,1.786,1.467,60.52,2.857,2.1,2.0,60.52
FCC_T\0\gms9djUrHqioq2JJbWPikQ\,FCC_T,0/gms9djUrHqioq2JJbWPikQ,,1,4,3102,17,37,37,0,0,0,0,2.176,1.17,1.529,63.05,3.5,1.224,2.125,63.05
FCC_T\0\gq8voEXLegMg2Bk7fnAM4j\,FCC_T,0/gq8voEXLegMg2Bk7fnAM4j,,1,1,692,2,2,2,0,0,0,0,1.0,1.0,1.0,66.667,,,,
FCC_T\0\guRmYav7vTkwkCCVS7vwZF\,FCC_T,0/guRmYav7vTkwkCCVS7vwZF,,1,3,4811,8,10,10,0,0,0,0,1.25,0.75,1.125,73.053,2.0,0.375,1.5,73.053
FCC_T\0\h28fPxqt5VprJfHrKgHnTk\,FCC_T,0/h28fPxqt5VprJfHrKgHnTk,,1,1,296,4,5,5,0,0,0,0,1.25,1.4,1.25,46.11,2.0,2.0,2.0,46.11
FCC_T\0\hEXjKCFPGTfTUgnKEwDy6i\,FCC_T,0/hEXjKCFPGTfTUgnKEwDy6i,,1,3,2271,18,43,43,0,0,0,0,2.389,1.745,1.667,59.143,3.778,1.942,2.333,59.143
FCC_T\0\hgCnq78AjxZr9R2eqr2NqU\,FCC_T,0/hgCnq78AjxZr9R2eqr2NqU,,1,1,688,3,8,8,0,0,0,0,2.667,0.562,1.667,68.783,3.5,0.5,2.0,68.783
FCC_T\0\hgF25Wag4Wy5GkKbbGiSfT\,FCC_T,0/hgF25Wag4Wy5GkKbbGiSfT,,1,2,525,7,7,7,0,0,0,0,1.0,1.0,1.0,43.43,,,,
FCC_T\0\ibEVgCnNgn8GVbH89vbQPg\,FCC_T,0/ibEVgCnNgn8GVbH89vbQPg,,1,6,6609,31,79,79,0,0,0,0,2.548,1.76,1.742,50.063,3.824,1.923,2.353,50.063
FCC_T\0\iwXTYePiH6sQz7CSJ3BHG6\,FCC_T,0/iwXTYePiH6sQz7CSJ3BHG6,,1,10,8831,25,77,77,0,0,0,0,3.08,1.222,1.92,57.217,4.714,1.259,2.643,57.217
FCC_T\0\j8hTYTE2jpPN8Nj3iEgWJj\,FCC_T,0/j8hTYTE2jpPN8Nj3iEgWJj,,1,4,2676,10,20,20,0,0,0,0,2.0,1.783,1.6,56.893,3.5,2.119,2.5,56.893
FCC_T\0\jXYvWpWHyV9JhpCiKJSfLp\,FCC_T,0/jXYvWpWHyV9JhpCiKJSfLp,,1,4,3551,17,34,34,0,0,0,0,2.0,1.055,1.412,64.747,3.125,1.075,1.875,64.747
FCC_T\0\joZ3ESqQHQ6eCvNHiRFXXA\,FCC_T,0/joZ3ESqQHQ6eCvNHiRFXXA,,1,5,3873,9,36,36,0,0,0,0,4.0,0.931,1.556,76.417,6.4,0.923,2.0,76.417
FCC_T\0\jw8MFTDRMWcn82yrmjsGtT\,FCC_T,0/jw8MFTDRMWcn82yrmjsGtT,,1,2,2129,5,17,17,0,0,0,0,3.4,0.437,1.2,83.147,5.0,0.362,1.333,83.147
FCC_T\0\k6PuizGfLo4wuP6vVszmpr\,FCC_T,0/k6PuizGfLo4wuP6vVszmpr,,1,2,1255,5,7,7,0,0,0,0,1.4,1.143,1.4,52.777,3.0,1.333,3.0,52.777
FCC_T\0\ktDYCMfQtXjztQq9kHLcyZ\,FCC_T,0/ktDYCMfQtXjztQq9kHLcyZ,,1,1,260,4,4,4,0,0,0,0,1.0,1.0,1.0,66.667,,,,
FCC_T\0\msMuk9zLBG5xK8nAwaJzCm\,FCC_T,0/msMuk9zLBG5xK8nAwaJzCm,,1,2,1457,11,18,18,0,0,0,0,1.636,1.556,1.455,60.173,3.333,2.0,2.667,60.173
FCC_T\0\mtrNtqgkXehkg7Na7yR8Gc\,FCC_T,0/mtrNtqgkXehkg7Na7yR8Gc,,1,1,798,4,11,11,0,0,0,0,2.75,1.682,1.75,56.353,4.5,1.834,2.5,56.353
FCC_T\0\nmThnwiPwpkcQXGALELxhG\,FCC_T,0/nmThnwiPwpkcQXGALELxhG,,1,17,15263,34,92,92,0,0,0,0,2.706,1.491,1.706,53.233,5.143,1.627,2.714,53.233
FCC_T\0\nxE7kZgUrUCkZFEYYqQDti\,FCC_T,0/nxE7kZgUrUCkZFEYYqQDti,,1,4,3120,23,45,45,0,0,0,0,1.957,1.767,1.522,53.33,4.143,2.19,2.714,53.33
FCC_T\0\o9HT9WtyqtteRFPdUeaUMr\,FCC_T,0/o9HT9WtyqtteRFPdUeaUMr,,1,1,628,4,5,5,0,0,0,0,1.25,1.4,1.25,46.11,2.0,2.0,2.0,46.11
FCC_T\\\,FCC_T,/,,1,428,346306,469,3561,3561,0,0,241,3258,7.593,5.043,3.388,62.197,11.887,5.264,4.944,62.86
